# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	cellDisplacement_solver	cellDisplacementx_initial	cellDisplacementx_final	cellDisplacementx_iters	cellDisplacementy_initial	cellDisplacementy_final	cellDisplacementy_iters	cellDisplacement_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.00410256    	DILUPBiCGStab	1.144010e-06	7.250830e-11	1	1.973480e-05	1.682920e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	1.237180e-02	1.057590e-04	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00435897    	DILUPBiCGStab	1.126960e-06	7.061690e-11	1	1.923150e-05	1.653730e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	1.181750e-02	1.100690e-04	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00461538    	DILUPBiCGStab	1.114910e-06	6.886930e-11	1	1.891150e-05	1.630400e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	1.115870e-02	8.633390e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00487179    	DILUPBiCGStab	1.106080e-06	6.722560e-11	1	1.867500e-05	1.604330e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	1.050640e-02	9.197080e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00512821    	DILUPBiCGStab	1.098840e-06	6.583200e-11	1	1.849360e-05	1.579350e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	9.996230e-03	7.470510e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00538462    	DILUPBiCGStab	1.092520e-06	6.459020e-11	1	1.834880e-05	1.556920e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	9.459250e-03	7.897420e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00564103    	DILUPBiCGStab	1.086760e-06	6.347730e-11	1	1.822390e-05	1.534100e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	9.080970e-03	6.843300e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00589744    	DILUPBiCGStab	1.081440e-06	6.256060e-11	1	1.811150e-05	1.514340e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	8.733190e-03	7.049480e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00615385    	DILUPBiCGStab	1.076460e-06	6.173690e-11	1	1.800650e-05	1.495270e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	8.407230e-03	6.115230e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00641026    	DILUPBiCGStab	1.071700e-06	6.098750e-11	1	1.790930e-05	1.476780e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	8.250820e-03	6.595230e-05	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
